Term,Definition,"Notes, Examples"
redacted,"szerkesztett, cenzúrázott, kitakart, eltakart",
reduce,"csökkent, apaszt, lefokoz tisztet, leszállít, csökkenés",
redundant,"létszámfeletti, felesleges, szükségtelen",
reexamine,felülvizsgál,
refer,hivatkozik,"We use he/him to refer to men, and she/her to refer to women."
refer to,hivatkozik,
reflexive pronoun,visszaható névmás,
reframe,új keretbe helyez,"Governments, but also individuals practice the age-old method of reframing aggression in words that somehow make it feel less immoral."
refuge,"menedék, menekül, menedéket ad",
refusal,"elutasítás, megtagadás, visszautasítás",His refusal to abjure the Catholic faith.
refuse,"hulladék-, hulladék, törmelék, visszautasít, elutasít, megtagad, kosarat ad",
regain,visszaszerez,
regardless,"tekintet nélkül, kíméletlen, gondatlan, figyelmetlen",
regret,"megbánás, sajnálat, megbán, visszasír, sajnál",
regular,szabályos,
regularly,"rendszeresen, szabályosan, pontosan",
rehearsal,színházi próba,
rehearse,próbál,
reinforce,megerősít,
reject,"elutasít, elvet, visszautasít, selejt, visszautasítás",
relapse,visszaesik,
relative clause,vonatkozó tagmondat,
relative pronoun,vonatkozó névmás,
release,"kiadás, szabadon bocsátás, kioldó szerkezet, felment, nyilvánosságra hoz",
relegate,"száműz, eltávolít",
relentless,"könyörtelen, hajthatatlan",
relevant to stg,"vonatkozó, vmire vonatkozó",
reliability,"megbízhatóság, szavahihetőség",
reliance,bizalom,
relic,"ereklye, emlék, maradvány",
relief,"megkönnyebbülés, dombormű, könnyítés, felmentés, segítség, enyhülés","Sustained long enough, a strong fear of anything vague or unknown induces regression. On the other hand, materialization of the fear is likely to come as a relief. The subject finds that he can hold out and his resistance is strengthened."
relieve,"segít, enyhít, könnyít",
relish,"élvez, ínyére van, íz, étvágy, fűszerez",
reluctant,"vonakodó, kelletlen, szabadkozó",
rely on,"támaszkodik, bízik",
remedy,"orvosság, orvosol",
reminiscent,vmire emlékeztető,
remorse,"bűntudat, lelkiismeretfurdalás",
remorseful,"bűnbánó, szánandó",
remote,távoli,
remotely,távolról,
render,(fel)mutat,
rendition,"ábrázolás, fordítás",
renege,"megcsal, becsap, hatálytalanít",
renounce,"lemond, felad, megtagad, renonsz",
rent-seeking,járadékvadászat,
repeal,"hatálytalanít(ás), visszavon(ás)",
repercussion,"visszaverődés, következmény",
repetition,ismétlődés,
reprehensible,"kifogásolható, korholást érdemlő",
represent,"képvisel, ábrázol, mutat, állít",
repressed,elfojtott,
repudiate,"megtagad, eltaszít",
request,"kérés, kívánság, igény",
require,"kíván, megkövetel, elvár",
rescind,érvénytelenít,
resemble,"hasonlít valakihez, egybevet",some people resemble their dogs
resentment,"neheztelés, bosszankodás",
reservoir,"rezervoár, víztározó, gyűjtőmedence",
residual,"maradó, üledék, csapadék, megmaradó",
resign,lemond,
resolute,"eltökélt, határozott",
resounding,"visszhangzó, hangzatos",resounding success
respective,"illető, viszonylagos",they chatted about their respective childhoods
respite,haladék,
restitution,"kárpótlás, helyreállítás",
restrain,"visszatar, megakadályoz",
restraints,"korlátok, korlátozások (belső is)","…we are fascinated by the growth of freedom from powers outside ourselves and are blinded to the fact of inner restraints, compulsions, and fears, which tend to undermine the meaning of the victories freedom has won against its traditional enemies. , Erich Fromm, 1942"
retail,"kiskereskedelem, kicsiben elad",
retain,"őriz, visszatart",
retaliation,megtorlás,
retention,"késleltetés, visszatartás",
retiree,nyugdíjas,
retreat,visszavonulás,
reveal,"felfed, kinyilatkoztat",
revelation,kinyilatkoztatás,
revenge,"bosszú, megtorlás",
revenue,árbevétel,
revile,"gyaláz, ócsárol",Trump is reviled.
revise,"felülvizsgál, átnéz, második levonat",
revoke,"visszavon, hatálytalanít",
reward,"jutalom, ellenszolgáltatás, megtorlás, büntetés, jutalmaz",
rid,"megszabadul, kiküszöböl",
rife,mindennapos,
rig,"ruha, vitorlázat, spéci célra szánt felszerelés - vitorlát felhúz",a lighting rig
righteous,tisztességes,
rigidity,"merevség, ridegség",
rigor,szigor,
riot,"lázadás, zavargás, zendülés, zendül, lázadozik",
ripoff,átverés,
ripped,"hasadt, alkoholos befollyásoltság alatt áll",
risk-averse,kockázatkerülő,
rive,"rés, szétrepeszt",
rodent,rágcsáló,
rollerblades,görkorcsolya,
rolling,"gördülő, guruló, gurítás",
rolling in cash,"sok pénze van, fürdik a pénzben",
rosary,rózsafüzér,
roundup,"rajzás, domborodás, felhajtás, bekerítés, körülzárás, rendszerezett gyűjtés, körüljárás",
route,"útvonal, járat, útiterv, menetvonal, adásvonal, útvonalat tervez",
rowdy,"lármás, hangoskodó",
rubberneck,bámészkodó (turista),
rubbish,"szemét, ostobaság, törmelék",
rucksack,hátizsák,
rudimentary,kezdetleges,
ruffian,útonálló,
rule,szabály,
rule of thumb,ökölszabály,
rumble,"moraj(lik), dörgés, dörög",
rumor,"szóbeszéd, rémhír",
rupture,"törés, megszakítás",
rural,vidéki,
sacrifice,"áldozat, feláldoz",
saddle,nyereg,
safety,"biztonság, épség",
salaryman,fehérgalléros dolgozó,
salty guy,ideges gyerek,
salvage,"megmentés, zsákmány, kiment",
sane,épelméjű,
sanitation,"higiénia, közegészségügy",
sap,"nedv, magoló, életerőt kiszív, kiszipolyoz",How To Sap People’s Life Force In 3 Easy Steps
satisfy,"teljesít, kielégít",
savior,"megmentő, megváltó",
savor it!,élvezd ki!,
savvy,"hozzáértés, ész",
scalar,skalár,
scam,átverés,
scamp,"csirkefogó, semmirekellő, összecsap, hanyagul dolgozik",
scapegoats,"bűnbak, áldozati bárány",
scarce,"szűkös, ritka, elégtelen",
scarcity,hiány,
scathe,maró,
scatter,"szétszór, szór, elterjeszt, hint, leszór, kiszór (festéket, elméletet, mindent)",
scholar,tudós,
schvitzy,izzadt,
scooped,odvas,
scoot,rohan,
scorn,megvetés,
scour,"súrol(ás), dörzsöl(és)",
scout,cserkész,
screw up,elcsesz,
scrutiny,"vizsgálat, megfigyelés, kutatás","Again, when you're in a campaign under constant scrutiny you do your best to control every situation, reduce the risk of unpredictable, embarrassing or damaging events."
scuff,"papucs, csoszogás, elkoptat",
scum,"hab, tajték, habzik, iszonyat nagy sértés, ami különben nem egy csúnya szó: legalja",
scurvy,skorbut,
scythe,"kasza, sarló, kaszál",
seduce,"elcsábít, megront",
seek,"felhajt, keresgél",
seethe,"forr, áztat",
seldom,ritkán,
select,"választ, válogatott",
self-appointed,önjelölt,
self-cognizant,Én-tudattal rendelkező,
self-denial,önmegtagadás,
self-explanation,önmagyarázat,
self-inflicted,önmagának okozott,
self-propagated,önszaporított,
semblance,"látszat, hasonlóság",
send off,"elküld, elbocsát",
sense,"érzék, felfogás, értelem, megérez",
sense of agency,cselekvőképesség,
sentence,mondat,
separately,"külön, egyesével, elválasztva",
sequence,"sorrend, sorozat, számsor, folytatás",
serenity,"derű, higgadtság",
serious,súlyos,
sermon,szentbeszéd,
serviceable,"használható, hasznos",
settle,"letelepít(és), elrendez, elhelyez, megszilárdít",
settling,ülepítő,
several,néhány,
severe,"szigorú, erős",
sewage water,szennyvíz,
shackle,"sekli, bilincs, béklyó, megkötöz",
shallow,"sekély, zátony, gázló",
shareholder,részvényes,
sharp,"éles, hegyes, hirtelen",
shatter,összetör,
shear,"nyír(ás), olló, levág",
shed,"fészer, csűr, elhullat, ont, önt, elveszít",
sheer,"áttetsző, vékony, könnyű, TELJES",
shiver,"reszket, didereg, reszketés, szilánk, forgács",
shoe,"cipő, cipőt húz",
shoo,"elhesseget, indulatszó",
shop assistant,eladó,
shop window,kirakat,
shopkeeper,boltos,
shortage,hiány,
shortbread,"omlós tészta, piskóta, süti",
shortcoming,"hiány, elégtelenség, hiányosság",
should've known better,tudnom kellett volna,
shove,lök(és),
shovel,ásó,
show somebody to something,"megmutatni valakinek az  utat valahová, odakísérni",I show you to your table. (Waiter)
shred,foszlány,
shrimp,"garnélarák, tengeri rák",
shrink,összezsugorodik,
shrinking,csökkenő összemenő,
shrug,vállat von,And a severely misplaced locus of identity does people a favour when they need it to shrug off responsibility.
sibling,testvér,
sidetrack,"mellékvágány, iparvágány","sidetracked = összezavart, elterelték a figyelmét"
signpost,útjelző tábla,
silage,silózás,Proper use of slurry and fertilizer are essential to the recovery of silage aftermaths right now.
simulation,"tettetés, színlelés, modell, számítógépes szimuláció",
sin,bűn,
singular,"egyes szám(ú), egyedülálló",
sinister,"baljós, vésztjósló",
sink,"süllyed, mosogató",Their economic standing won’t sink any further and the black car won’t stop outside their homes during the night.
sinking,süllyedő,
situate,"elhelyez, kijelöl",
six days a week,egy héten hatszor,
slaughtered,"levágott, lemészárolt",
slay,"elpusztít, agyonüt",
sleigh,szán(kó),
slight,"enyhe, csekély, gyenge, könnyű, mellőzés, semmibe vesz",
slightingly,lekicsinylően,
slime,iszap,
sling,"dob, hajít, parittya",
slink,ólálkodik,
slip,"csúszás, botlás, nyomtatvány, megcsúszik, elbotlik, elcsúszik",
slit,"hasít(ék), vagina, rés",
slope,"lejtő, meredekség",
sluggish,"lassú, lomha, lanyha, nehézkes, lusta, pangó, rest, tétlen, tehetetlen, henye, tunya, renyhe",
slurry,hígtrágya,Proper use of slurry and fertilizer are essential to the recovery of silage aftermaths right now.
smart,"okos, elegáns, furfangos, szúró, fáj, gyorsan, szúrás",
smarts,"ész, know-how, intelligencia","street smarts = megvan a magához való esze, dörzsölt, kiismeri magát ..."
smash,"összetör(és), szétzúz, nekicsapódik, zúz",
smashing,"hatalmas, áttörő siker",
smirk,önelégült mosoly,
smooth,"sima, egyenes, egyenletes, simán, simít",
smudge,"piszok, folt, bepiszkít",
snag,"csonk, kidudorodás",
snappy,"lendületes, harapós",
snapshot,pillanatkép,
snarky,"éles, kritikus megjegyzés, képzeletbeli állat, amit nem lehet elkapni",snarky remarks
sneak,"settenkedik, spicli",
sneaky,szolgai,
snitch,"orr, elcsór, elcsen",
snuggle,"odasimul, magához szorít",
so far so good,eddig jó,
societal,társadalmi,social
soggy,"átázott, uncsi",
soil,"talaj, termőföld, szennyfolt",
solely,kizárólag,
solid,"szilárd, tömör, tartós",
solidify,"megszilárdít, tömörít",
sombre,komor,
someplace,valahol,
somersault,bukfenc,
soothe,"csillapít, enyhít",
soothsay,"jósol, jövendőt mond",
sorrow,bánat,
sow,"vet, hint, koca",
spare,"tartalék (fn és mn), kímél, sajnál",
spark,"szikra, lángra lobbant",Its source (any form of fear) is most likely some economic or security threat – real or perceived – hence the power of a recession or outside attacks to spark authoritarianism.
spatial,"térbeli, tér-",
spawn,"ívik, ivadék, halikra",
specific determiner,specifikus (konkrét) determináns,
spectacular,látványos,
spectacularly,látványosan,
speed,skalár sebesség,
spell,betűz,
spendthrift,"pazarló, tékozló",
spill,"bukás, esés, kiönt, kilöttyen",
spin,"pörgés, forgás, dugóhúzó, forgat, sodor",
spinach,spenót,
spineless,gerinctelen,
spit,"nyárs, köp(és)",
spit it out,Köpd ki!,
spite,"rosszindulat, bánt",in spite of = ellenében
split up,"szétválik, szakít",
splurge,"felvág(ás), feltűnés",
spoil,"zsákmány, meddőhányó, elront, elkényeztet",
spoken language,beszélt nyelv,
spokes,küllők (kerék),
sprawl,"terjeszkedés, szétterpeszt",
spread,"terjed, elterjed, kiterjed, széttár, szétterpeszt, megken, terjedelem, terjeszkedés, elterjedés",
spreadsheet,táblázatkezelő,
spring,"tavasz(i), ugrik, rugó, forrás, eredet",
sprinkle,"szór, locsol, spriccel, locsolás",
sprout,"rügyezik, kihajt",
spurious,hamis,
squawk,"rikácsolás, rikácsol",
squish,fecskendez,
squishy,"pépes, de! 1. Someone of a huggable nature. 2. In the gaming world, a character who dies constantly. 3. little old man",
stable,"stabil, szilárd",
stain,"folt, pecsét, bepiszkít",
stakeholder,érintettek,
stamina,"állóképesség, kitartás, erély",
standard of living (life),életszínvonal,
standing,"álló, rang",social standing
stands still,mozdulatlan,
stare,bámul,
started creaming,"nemi izgalomba jött, nedvesedni kezdett",
starting point,kiindulópont,
starve,"éhezik, koplal",
state,"állami, állam, helyzet, állapot, tisztség, állít, kijelent",
state of the art,"legkorszerűbb, csúcs-",
statement,"nyilatkozat, beszámoló, vallomás, bejelentés, állítás, ismertetés, kijelentés, itt utasítás",
stationary,"helyhez kötött, mozdulatlan, állandó",
stative verb,stigens igék,
stature,termet,
stay up late,sokáig fennmaradni,
steadily,"állandóan, folyamatosan, rendületlenül",
steady,"állandó, szilárd, állhatatos",
stealthy,titkos,
steep,"lejtős, meredek, , túlzott, beáztat",
steer,"tinó, bika, kormányoz, irányít","I'm an Atheist, however, I tend to steer more towards Humanistic Judaism."
steering wheel,kormánykerék,
stem,"származik, ered, törzs, szelepzár, ered",Stems from the tradition
stick,"bot, kormányoszlop, husáng, ugró csoport, ragaszt, szúr, dug, leragad",
stick around,"őgyeleg, marad",
sticker,"matrica, böllér",
sticking,"ragasztás, ragadó",
stickler,"szőrszálhasogató, probléma",
stiff,"merev, feszes, váltó",
stifle,elfolyt,Survival-mentality takes over and stifles risk-taking and the desire to grow.
sting,"éget, csíp, megcsíp, méregfog, fullánk, csípés",
stir up,"felkavar, fellázít",
stitch,"összevarr, varrás",
stoat,hermelin,
stock market,tőzsdepiac,
stocking,"harisnya, kamásli, karácsonyi zokni",
storm in a teacup,vihar a biliben,
strain,"törzs, deformáció, húzódás, feszülés, feszít, feszül",
strait,"tengerszoros, szűk, keskeny",
strait jacket,kényszerzubbony,
stranded,megfeneklett,
straw man,stróman,
streamlined,áramvonalas,
strict,"szigorú, pontos, szabatos",
stride,"lépés, lépked, lép",
striking,"meglepő, ütő, ütés, csapás",
strip,"szalag, sáv, leszállósáv, levetkőzik, vetkőztet, szalagokra vág",
strive,"küzd, iparkodik",
strong adjective,erős melléknév,
strongholds,"erőd, vár, támpont",
strongman,"erős ember, erős vezető",
struck,"üt, sztrájkol, ver, csapást mér",
struggle,"küzdelem, harc, harctevékenység, küzd, harcol",
stubbornly,makacsul,
stumbled across,botlott,
stunning,"lenyűgöző, nyomasztó, elkábító",
stunt,"kaszkadőr, bámulatos dolog, szenzációs hír",
sturdy,"erős, izmos",
stutter,"dadogás, hebegés, dadog, elhebeg",
subconsciously,tudat alatt,
subdue,leigáz,"This is why populistic anger, for instance, cannot subdue without restoring a sense of control."
subject (school),tantárgy,
subject of a verb,az ige alanya,
subject pronoun,alanyi névmás,
sublet,albérletbe ad,
submission,"benyújtás, behódolás, alámerülés",
subordinate,"alárendelt, alantas, alárendel",
subservient,szubmisszív,
subset,részhalmaz,
subside,"leülepedik, lerakódik",
subsidy,"szubvenció, segély, segítség, állami támogatás",
substance,"anyag, tartalom, szubsztancia, alkotórész, lényeg, valaminek a magva, veleje, fő dolog",
substances,anyagnevek,
substantial,"lényeges, valódi, létező",
substantially,lényegesen,
substitute,"helyettes(ít), meghatalmazott",
subtle,"apró, hajszálnyi",
succession,"öröklés, sorozat, sorrend",
succumb,megadja magát,When one’s cognitive faculties are overwhelmed by fear one will succumb to unfreedom.
such,"ilyen, olyan",
sucker,"szívó, szopós állat, élősdi, lopótök, bujtatvány, szívókorong, nyalóka, tányérnyaló, szivattyú dugattyú",
sudden,"hirtelen, váratlan, gyors, hirtelen haragú",
sue,(be)perel,
suede,"szarvasbőr, antilopbőr",
suffer,"szenved, elvisel",
sufficient,"elég, elegendő",
suggest,"javasol, tanácsol",
suggestion,"javaslat, sejtelem",
suitable,"alkalmas, megfelelő",
summarize,összefoglalás,
summon,"megidéz, behív",
sunburn,leég(és),
superficial,"felületes, felszínes",
superlative adjective,felsőfokú melléknév,
superstition,babona,
supplement,"kiegészítés, pótlás, kiegészít",
supplementary,kiegészítő,
supply,"kínálat, ellátás, felszerelés, beszerzés, készlet, szállítás, ellát, helyrehoz",
suppose,"feltételez, feltesz, tegyük fel",
supposed,állítólagos,
supposedly,állítólag,
surefire,holtbiztos,
surge,túlfeszültség,
surgery,sebészet,
surmount,"felülmúl, leküzd, legyűr, tetőz",
surpass,"felülmúl, túltesz valamin, meghaladja",prewar levels of production were surpassed in 1929
surrender,"megad(ás), lemond valamiről",
surreptitious,"titkos, lopva tett",
surround,"körülvesz, bekerít, keret, szegély, környezet",surround sound = térhangzás
survey,"felmérés, szemle, ellenőrzés, áttekintés, áttekint, megnéz, megszemlél, végigtekint",
suspect,gyanús(ít(ott)),
suspend,felfüggeszt,
suspicion,"sejtés, gyanú",
swag,"menő, szajré, batyu, ingadozás",
swallow,"fecske, nyelés, nyelőcső, nyel, bevesz",
swarm,"raj, csorda",
sway,"inog, lenget, ingás, lengés",A kernel of like-minded believers spreads the idea by punishing disbelievers. Clusters of people are swayed or intimidated into endorsing it.
sweat,izzad(ság),
sweating,"izzadás, verejtékezés",
sweep,"söprés, söpör, áradás, hajtás, kitérítés, végigsöpör",There are three layers to unfreedom or authoritarian thinking that is sweeping the world today.
sweet spot,"Baseballban az ütő azon pontja, amivel a leghatékonyabb ütni. - Ugyanez átvitt értelemben. Legérzékenyebb erogén zóna is, pl. csikló vagy fiún frenulum. Hely, ahol a legjobb a hangzás, etc.",
sweetcorn,csemegekukorica,
swell,"dagad, felduzzad, kidudorodás, vízfodor, nagyon elegáns",
sycophant,hízelgő,
syllable,szótag,
tablet,"tabletta, tablet",
tacky,"ragadós, maszatos",
tactile,"tapintható, kézzelfogható",
tad,"srác, poronty, kicsit",Mark looked a tad embarrassed
tag,"toldalék, címke",
tailor made,"testreszabott, mérték után készült",
take out,"kivesz, megszerez, kieszközöl, kiszed, elővesz",
takeaway,"étel elvitelre, dobozos kaja",
tallpipe,kipufogó,
tan,cser,
tangible,"kézzelfogható, tapintható",
tangled,"kusza, összegubancol(t)",
tantrum,"kitörés, szeszély, hiszti",
tear,"könny(ezik), szakad, tép",
temporal,időbeli,
temporary,"időleges, átmeneti",
tempt,"csábít, kísért",tempted = megkísértve
tenacious,"állhatatos, összetartó",
tenant,bérlő,
"tenfold, ten fold",tízszeres,
tense,igeidő,
tentatively,próbaképpen,
terminally,gyógyíthatatlan,terminally ill = halálos beteg
terrace,terasz,
terrible,"szörnyű, rettenetes",
terrific,"szörnyű, rémítő",
terrified,rémült,
terrifying,félelmetes,
terse,"tömör, velős",
tethered,"netre kötött, kipányvázott, bekötött",
the day after tomorrow,holnapután,
the day before yesterday,tegnapelőtt,
the other day,"egyik nap a (múltban), múltkor, minap, másnap",I went to the spa the other day.
theory,"elmélet, teória, eszme",
thereby,ezáltal,The abused wife becomes an enabler to her husband’s aggression thereby securing his goodwill.
therefore,"ebből adódóan, ezért, következésképpen, azért evégett, avégett, emiatt",
thicken,"behabar, beránt, vastagít",
thicker,"vastagabb, sűrűbb",
thorn,tüske,
thorough,"alapos, részletes",
though,"bár, habár, noha, ugyan, mégis",„I was hunting for work. Jobs were scarce though.
thought,"gondolat, gondolkodás",
thread,"szál, cérna, fonál, gondolatmenet, befűz",
threat,fenyegetés,
thrift,"takarékosság, nyereség",
thrilled,"izgatott, megborzongott, megremegett",
thrive,"gyarapszik, boldogul",
throughout,"az egész, egészen, mindenütt, országszerte",
throw light upon,"világot gyújt (benne/számára), megvilágosít",
thrust,"lök(és), tolóerő, szúrás, előre nyomulás, csapás",
thug,"orgyilkos, gonosztevő",
thwart,"meghiúsít (itt, amúgy keresztez, megakadályoz)","People who have been satisfied in their basic needs throughout their lives, particularly in their earlier years, seem to develop exceptional power to withstand present or future thwarting of these needs simply because they have strong, healthy character structure as a result of basic satisfaction.(MASLOW 1943:388)"
tick,"ketyegés, kipipál",
tied up,megkötözve,
tight,"szoros, tömör, csinos, szorosan, erősen",
timber,"fűrészárú, faanyag",
timid,"félénk, gyáva",
tin,konzervdoboz,
tinfoil,"alufólia, ónlemez, ezüstpapír",
tinsel,"aranyfüst, talmi, fémszálas karácsonyi dísz",
tire,"1. fáradság, 2. gumiabroncs",
tldr,"Túl hosszú, nem olvastam el. (Too long - didn't read)",
to be about,készülni valamire,
to cuddle somebody,megölelni valakit,
to get cold,megfázni,
to get well with somebody,"jóban lenni valakivel, jól kijön vele",
to look after somebody,utánanézni valakinek,
to make somebody laugh,megnevettetni valakit,
to row,"evezni, lármázni, felsorakoztatni",
to schvitz,izzad,
toady,talpnyaló,"Toadying to Trump would be extremely bad politics - standing up to him, good politics."
toggle,"pecek, kampósszeg, átkapcsol, váltókapcsoló",
toil,erőlködik,
toolkit,eszközkészlet,
top (clothes),felső,
top notch,tökély csúcsa,
torn,szakadt,
torn (on),"szakadt, tépte, szabódik valamin","to tear (tore, torn), I'm torn on if I want it or not."
tote,"cipel, szállítás, totalizatőr",
tough,"kemény, szívós, rágós, makacs",
touting,"üzérkedik, megles, kémkedik",
towards,"felé, irányában, iránt",
tracksuit,melegítő,
trade insults,sértegetik,
trader,"bróker, kereskedő",
training regimen,képzési rend,
trait,vonás,cultural trait
traitor,áruló,
trampy,"promiszkuus (nő), mdegjelenés: kurvás",
transcend,"felülemelkedik, meghalad",
transient,"múló, múlandó, átmenő, futóvendég, rövid ideig tartó, pillanatnyi állapot (fiz), személy, aki rövid ideig dolgozik egy helyen",
transition,átmenet,
transitional,átmeneti,transitional period
transitive verb,tárgyas ige,
transitory,átmenetiség,
transmigration,lélekvándorlás,
tread,"jár, tapos, lépés, járás, futófelület",
treat,"élvezet, vendégség, kezel, bánik",I can't really afford it but once in a while I treat myself with it
trek,utazás,
tremendous,"borzasztó, szörnyű,",
tremulous,"remegő, rezgő, tremoló",
trepidation,"felindulás, lékelés",
tribe,törzs (népcsoport),
trickery,"trükk, csalás",
trigger,"ravasz, elsütő szerkezet",
trite,"elcsépelt, banális, sablonos, közhelyszerű, lapos",
trolley,"targonca, bevásárlókocsi",
trudge,"vonszolja magát, menetel",
trunk,"törzs, csomagtartó, bőrönd, úszónadrág, kiiszapol",
trustee,megbízott,I watched my colleagues abasing themselves before the board of trustees.
try on,felpróbál,
tub,ételdoboz (műa.),
tube,"cső, tubus",
tug,"ránt(ás), húz(ás), vonszol",
turd,szar,
turf,"gyep, tőzeg, pázsitoz, erőltet, lóverseny",
turn signal,irányjelző,
turning point,"fordulópont, töréspont",
turret,tornyocska,
twice a day,kétszer egy nap,
twig,gally,
twin bed,"két ágy, ami nem egy dupla, hanem két szimpla",
twitch,"rántás, rándulás, rángás",
two part,két részből álló,
two-syllable adjective,két szótagú,
tying,árukapcsolás,
tying knot,csomót köt,
tyre,gumiabroncs,
ubiquitous,"gyakori, közönséges, mindenütt jelenlevő",pl. közért a városban
unalterable,megváltoztathatatlan,
unappeasable,csillapíthatatlan,
unavoidable,elkerülhetetlen,
unaware,nincs tudatában,
unbearable,"kibírhatatlan, tűrhetetlen",
unbutton,kigombol,
uncanny,"rejtélyes, kísérteties",
uncommonly,"különösen, nem gyakori",
unconscious,öntudatlan,
uncountable,megszámlálhatatlan,
uncountable noun,megszámlálhatatlan főnév,
undercover,"rejtett, fedett, titkos",
undergo,"alávet, keresztülmegy, elvisel",
underground (transportation),"földalatti, metró",
underpinnings,"alátámasztó, megerősítés, alap, tömör alap, aládúcolás","underpin = megerősít, aládúcol"
undertake,vállal,
underwhelm,"nem nyűgöz le, nem gyakorol rá nagy hatást",I get the feeling that John's colleagues are distinctly underwhelmed by his latest proposal.
undeserving,méltatlan,
undivided,"osztatlan, teljes egész",
undone,"tönkremen, meg nem történt, visszavon",
undoubtedly,kétségtelenül,
undue,túlzott,
unequivocal,egyértelmű,
uneven,"egyenetlen, egyenlőtlen, páratlan",
unforeseen,előre nem látott,
unfounded,"alaptalan, megalapozatlan",
unfreedom,szabadsághiány,
unheard,"nem hallott, hallatlan",
unheard-of,hallatlan,
unimaginative,fantáziátlan,
uninhibited,gátlásoktól mentes,
universal pronoun,"univerzális névmás (everything, everybody)",
unjustifiable,nem igazolható,
unlearn,"elfelejt, újraprogramoz",
unleash,"elenged, szabadon enged",
unless,"hacsak, hacsak nem, kivéve, hogyha",
unlikely,"valószínűtlen, hihetetlen, nem úgy, mint",
unmanly,férfiatlan,
unobjectionable,kifogástalan,
unobtrusive,szerény,"Passport.js is simple, unobtrusive authentication for Node.js."
unpredictable,"kiszámíthatatlan, előre nem látható",
unrelated,össze nem függő,
unremarkable,jelentéktelen,
unreproachable,"kifogástalan, feddhetetlen, hibátlan",
unrequited,viszonzatlan,
unspeakable,kimondhatatlan,
unsubstantiated,megalapozatlan,
untrue,hamis,
unwavering,"kitartó, megingathatatlan",
unwieldy,"ormótlan, esetlen",
unwilling,"vonakodó, nem hajlandó",
unwritten,íratlan,
upfront,előre,
uphold,"támogat, fenntart, helyesel, megvéd, jóváhagy",
upon,"rag: -on, -en, -ön",once upon a time
upset,"felzaklat, elkeserít, felidegesít, felzaklatottság",
upstart,"újgazdag, parnevü",
uptake,"felvétel, felfogás, slukk",
upturn,"fellendülés, felfordít, felhajtás",
urge,"sürget(ő), sürgős",
urgent,"sürgős, sürgető",
utilitarian,haszonelvű,
utmost,"legnagyobb, legvégső, legtávolabbi",
utter,"teljes, kimond, kiejt",
vacancy,üresedés,
vacant,"üres, szabad",
vacillate,ingadozik,
vague,"homályos, bizonytalan",
vain,hiú,
van,kisteherautó,
vast,"hatalmas, mérhetetlen, óriási",
vault,"pince, boltozat, föld alatti tárolóhelyiség",
velocity,"sebesség, vektor",
venom,méreg,
vent,"nyílás, lyuk, szellőztet, megcsapol",
verb,ige,
verb phrase,ige vonzat,
verbatim,"szó szerint, jegyzőkönyv, szóról szóra",
vermin,"féreg, élősdiek",
versatile,"sokoldalú, ügyes, alkalmazkodóképes, változékony",
verse,versszak,
vessel,"hajó, tál",
vestige,"maradvány, nyom, emlék",
vex,bosszant,
vexing,bosszantó,
viable,"életképes, járható",
vicious,"gonosz, bűnös, ördögi",vicious spiral
vigorous,"élénk, makkegészséges",
villain,gazember,
vindictive,bosszúszomjas,
virtuoso,műértő,
visit relatives,rokonokat látogatni,
vogue,"divat, népszerűség",
voluble,bőbeszédű,
volunteer,önkéntes,
vow,"fogadalom, eskü",
vowel,magánhangzó,
vowel sound,magánhangzó,
wacky,"kiszámíthatatlan, fura, vicces",
wafer,ostya,
wage,bér,
wagon (transportation),"talicska, szekér",
walrus,rozmár,
wand,"pálca, vessző",magic wand
wander,"vándorol, bolyong",
wanton,"buja, féktelen, könnyelmű",
ward,"negyed, kerület, részleg",
warfare,hadviselés,
warlike,harcias,
warning triangle,vészjelző háromszög,
warp,"vetemedik, megvetemít, torzulás, torzult",
warrant,"jótáll(ás), biztosíték, kezesség",
washbasin,mosdó,
wasted,elpazarolt,
wasteful,"pazarló, tékozló",
way too big,túl nagy,way = at or to a considerable distance or extent - far (used before an adverb or preposition for emphasis).
weaken,gyengít,
weakened,legyengült,
weary,"megviselt, fáradt, kimerült",
weave,"sző, szövés, kanyarodva kikerül",
wed,"házasodik, összead",
weed,"gyom, gyomlál",
weep,"zokog, sír",
weird,"furcsa, hátborzongató, sors",
weirdo,különc,
well meaning,"jószándékú, jóindulatú",
wend,irányít,
wh-question,wh kérdések (megválaszolandó kérdések egy csoportja),
whatsoever,"akármi, bármi",
whenever,"bármikor, akármikor",„You can ask for help whenever you need it.
whereabouts,"hol, tartózkodási hely, hollét",
whereas,"mivel, minthogy, habár, miután, tekintettel arra, hogy/ habár, holott, jóllehet, noha/ míg ellenben/ ott hol","We have a misguided view of Maslow’s pyramid of needs. We regard it as solid fact – whereas it was only meant to be an illustration of how we view the world and how we prioritize our needs. Not that we are right., „You treat the matter lightly, whereas I myself was never more serious."
whig,GB liberális párti,
whim,"szeszély, hóbort",
whistleblower,szivárogtató (személy),
whitewash,"mész, meszel, kimeszel","The UNDP paper can be written off as an attempt to whitewash religious factors, but the role economic and political helplessness play in radicalisation must not be overlooked."
wholeheartedly,teljes szívvel,
wholly,egészen,
whoopsie,Upsz,
willing,"hajlandó, készséges, önkéntes",
willingly,"szívesen, készségesen, önként",
willpower,akaraterő,
